,face_id,file_id,x,y,w,h,ex,ey,ra,rb,theta,Female,Glasses,Occluded,Age,Trustworthiness,Dominance,IQ,upsidedown,BW,Roll,Pitch,Yaw,Trustworthiness_raw,Dominance_raw,Age_raw,IQ_raw,Trustworthiness_num,Dominance_num,Age_num,IQ_num,split
14304,54450,image66740.jpg,-36.0,215.0,141.0,141.0,56.5040512085,269.622741699,82.8077697754,58.7668037415,1.4241628646899998,1.0,0.0,0.0,3.823529412,0.514493,0.367188,4.416666667,0.0,0.0,0.161003410816193,0.04803434759378429,0.500982344150543,"[5, 4, 5, 7, 2, 4, 1, 2, 5, 1, 3, 4, 3, 6, 5, 5, 4, 4, 4, 7, 1, 5, 6, 5, 4, 7, 4, 5, 2, 3, 7, 5, 4, 2, 2, 5, 6, 3, 4, 4, 3, 7, 4, 5, 2, 5, 1, 3, 7, 7, 5, 3, 3, 3, 5, 6, 3, 3, 7, 3, 2, 4, 5, 4, 4, 4, 3, 4, 2]","[7, 4, 4, 3, 5, 3, 2, 5, 3, 1, 2, 2, 2, 6, 5, 3, 3, 4, 3, 3, 5, 2, 3, 4, 1, 1, 2, 4, 1, 1, 3, 3, 4, 1, 5, 2, 4, 5, 2, 2, 1, 2, 2, 5, 3, 7, 3, 4, 1, 3, 6, 2, 5, 5, 4, 3, 3, 4, 3, 3, 2, 3, 1, 5]","[4, 5, 4, 3, 3, 4, 4, 2, 4, 5, 5, 3, 4, 4, 4, 3, 4]","[5, 6, 3, 4, 4, 4, 4, 5, 4, 4, 5, 5]",69,64,17,12,train
13940,54080,image63554.jpg,595.0,434.0,477.0,477.0,734.9309082030002,605.258483887,287.07962036099997,203.733917236,1.54800891876,0.0,0.0,0.0,,,,,0.0,0.0,0.282886534929276,-0.124073125422001,-1.13250005245209,"[4, 4, 3, 6, 2, 3, 1, 4, 3, 1, 2, 1, 5, 6, 2, 3, 4, 3, 5, 5, 3, 3, 1, 1, 3, 3, 7, 6, 1, 2, 4, 5, 5]","[2, 5, 5, 4, 4, 5, 5, 3, 3, 4, 4, 4, 5, 5, 1, 5, 4, 2, 5, 2, 6, 6, 6, 5, 2, 3]","[5, 5, 5, 5, 5, 6, 5, 4, 6, 5, 4, 5]","[5, 4, 6, 5, 6, 5, 4, 4, 6, 3, 4, 6, 5, 5, 4, 5, 4, 5, 4, 6, 3, 3]",33,26,12,22,train
18471,58970,image13907.jpg,510.0,694.0,1075.0,1075.0,1134.55700684,1066.86413574,602.7274169919999,427.74203491199995,1.44610595703,1.0,0.0,0.0,2.461538462,0.5625,0.433333,4.307692308,0.0,0.0,0.0717247724533081,-0.264125734567642,0.4353030622005461,"[6, 6, 6, 6, 5, 4, 4, 4, 2, 5, 3, 4, 5, 2, 3, 2, 6, 4, 6, 4, 4]","[3, 4, 4, 5, 2, 5, 1, 4, 1, 5, 4, 3, 2, 1, 4, 5, 2, 5, 5, 4, 6, 1, 2, 4, 2, 1]","[2, 4, 3, 2, 2, 2, 2, 3, 3, 4, 2, 1, 2]","[4, 3, 3, 6, 4, 6, 7, 4, 6, 2, 6, 3, 2]",21,26,13,13,train
18496,58995,image13966.jpg,410.0,116.0,210.0,210.0,537.9270019530001,189.167037964,122.542892456,86.96592712399998,-1.50040006638,1.0,0.0,0.0,5.72,0.5,0.52381,3.583333333,0.0,0.0,-0.0842351391911507,-0.179584100842476,0.5099672079086301,"[3, 5, 6, 7, 7, 2, 6, 6, 3, 5, 1, 4, 4, 2, 6, 3, 6, 7, 6, 1, 4, 4, 2, 4, 3, 6, 6, 5, 4]","[5, 1, 3, 5, 5, 6, 7, 3, 3, 6, 1, 4, 5, 6, 1, 3, 6, 6, 2, 3, 5, 6, 7, 4, 5, 4, 2, 3, 3, 7, 5, 4, 3, 2, 3]","[6, 5, 6, 6, 6, 6, 5, 7, 5, 6, 5, 5, 5, 7, 7, 5, 5, 6, 5, 5, 6, 5, 6, 6, 7]","[3, 3, 6, 1, 6, 3, 4, 3, 3, 2, 3, 4, 2, 2, 3, 5, 5, 3, 4, 4, 4, 3, 6, 4]",29,35,25,24,train
15566,55788,image02051.jpg,34.0,79.0,232.0,232.0,165.178329468,158.549346924,126.15634918200001,89.53031158450001,1.44644129276,1.0,0.0,0.0,3.526315789,0.378205,0.442786,3.285714286,0.0,0.0,0.0847872048616409,-0.32502287626266496,0.327328324317932,"[4, 2, 4, 1, 3, 3, 3, 5, 1, 4, 3, 3, 2, 1, 6, 2, 2, 4, 3, 4, 2, 3, 4, 3, 4, 3, 4, 4, 3, 5, 4, 4, 3, 5, 5, 3, 6, 2, 3, 1, 1, 2, 4, 4, 4, 3, 3, 5, 4, 1, 5, 3]","[3, 2, 2, 7, 4, 1, 3, 3, 2, 4, 2, 3, 4, 1, 2, 5, 2, 3, 1, 5, 5, 6, 5, 2, 2, 4, 1, 5, 2, 2, 5, 5, 3, 3, 4, 4, 1, 6, 7, 1, 6, 5, 3, 2, 2, 3, 4, 3, 4, 5, 4, 5, 2, 6, 4, 5, 4, 4, 2, 2, 4, 7, 7, 5, 5, 6, 4]","[4, 3, 4, 3, 4, 4, 4, 2, 4, 2, 4, 4, 2, 4, 3, 5, 4, 4, 3]","[4, 5, 3, 2, 3, 2, 3, 5, 2, 3, 3, 4, 3, 4]",52,67,19,14,train
15855,56108,image03459.jpg,153.0,135.0,56.0,56.0,179.482330322,157.01332092299998,33.364971160900005,23.678367614699997,-1.54580152035,1.0,0.0,0.0,3.916666667,0.314346,0.4798850000000001,4.25,0.0,0.0,-0.0276294220238924,0.0369849652051926,-0.2373818308115009,"[4, 1, 3, 3, 3, 2, 1, 4, 2, 4, 4, 4, 3, 3, 2, 5, 2, 4, 5, 4, 1, 1, 3, 4, 2, 4, 1, 2, 6, 3, 1, 5, 4, 6, 3, 4, 3, 2, 1, 4, 2, 3, 1, 1, 2, 4, 3, 2, 3, 1, 4, 3, 1, 2, 1, 1, 2, 1, 4, 3, 3, 4, 2, 4, 4, 4, 3, 2, 4, 4, 3, 1, 4, 3, 2, 4, 4, 4, 2]","[1, 3, 1, 5, 1, 6, 3, 6, 5, 5, 4, 2, 5, 5, 1, 4, 5, 4, 3, 6, 3, 2, 1, 5, 2, 3, 2, 2, 7, 3, 5, 4, 3, 6, 4, 1, 5, 2, 1, 4, 6, 6, 3, 1, 7, 4, 7, 2, 1, 6, 4, 3, 7, 4, 6, 7, 6, 5]","[5, 3, 4, 3, 3, 4, 4, 4, 3, 5, 4, 5]","[3, 3, 3, 4, 3, 6, 7, 3, 3, 4, 6, 6, 5, 4, 3, 5]",79,58,12,16,train
15986,56246,image03804.jpg,267.0,217.0,162.0,162.0,341.34997558599997,276.654052734,93.8260192871,66.5862045288,-1.5447152853,1.0,0.0,0.0,3.538461538,0.666667,0.47619,4.625,0.0,0.0,0.0190998520702124,-0.2326304465532301,-0.16400231420993802,"[5, 1, 6, 6, 5, 6, 7, 6, 3, 7, 5, 4, 5, 5, 4, 5, 6, 3, 5, 1, 3, 5, 6, 5, 2, 4, 6, 5]","[4, 4, 3, 5, 5, 5, 5, 5, 3, 1, 4, 5, 3, 3, 2, 5, 5, 3, 2, 5, 1, 6, 4, 5, 4, 5, 3]","[2, 4, 2, 4, 3, 6, 3, 3, 3, 5, 4, 3, 4]","[7, 4, 4, 4, 5, 6, 6, 4, 5, 5, 4, 4, 5, 3, 3, 5]",28,27,13,16,train
18519,59023,image14044.jpg,65.0,87.0,266.0,266.0,199.501861572,183.886703491,144.441452026,102.506828308,-1.4016951322600002,1.0,0.0,0.0,3.318181818,0.666667,0.366667,4.222222222,0.0,1.0,-0.161573618650436,-0.169637247920036,-0.0558077581226826,"[6, 4, 6, 3, 6, 5, 5, 7, 5, 4, 6, 5, 6, 1, 4, 5, 7, 4, 3, 4, 6, 5, 5, 3]","[4, 5, 2, 2, 3, 3, 3, 3, 5, 1, 7, 4, 4, 3, 2, 3, 5, 5, 5, 1, 3, 1]","[3, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4]","[4, 4, 3, 4, 3, 6, 4, 5, 5]",24,22,22,9,train
19290,59861,image18786.jpg,557.0,447.0,806.0,806.0,925.2944335939999,734.2932739260001,458.784576416,325.589050293,-1.30424427986,0.0,0.0,0.0,1.277777778,0.666667,0.261905,3.25,0.0,0.0,-0.31926894187927196,-0.167425930500031,-0.350347220897675,"[7, 4, 3, 4, 3, 6, 4, 6, 5, 5, 7, 3, 6, 4, 4, 7, 4, 4, 5, 7, 6, 4]","[3, 6, 1, 2, 1, 3, 6, 2, 1, 1, 5, 1, 1, 1, 3, 2, 1, 1, 4, 1, 1, 1, 1, 1, 7, 1, 1, 2, 4, 1, 1, 2]","[1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]","[5, 4, 5, 5, 3, 5, 1, 1, 1, 5, 7, 1, 2, 4, 2, 1]",22,32,18,16,train
12613,52638,image49627.jpg,278.0,112.0,96.0,96.0,323.590576172,140.756271362,56.6759872437,40.2216682434,-1.46310651302,1.0,0.0,0.0,4.416666667,0.278509,0.231884,3.307692308,0.0,0.0,-0.100921526551247,-0.41791266202926597,-0.122609816491604,"[1, 2, 7, 1, 1, 3, 2, 3, 2, 1, 7, 2, 2, 1, 1, 1, 4, 5, 5, 1, 2, 6, 1, 1, 1, 4, 5, 2, 5, 3, 2, 2, 1, 3, 6, 4, 4, 1, 1, 2, 4, 5, 1, 2, 1, 6, 1, 3, 3, 2, 4, 2, 5, 4, 4, 1, 3, 1, 3, 2, 4, 3, 1, 2, 2, 4, 3, 2, 2, 2, 1, 3, 3, 1, 2, 3]","[2, 1, 6, 2, 3, 1, 2, 1, 3, 5, 4, 2, 3, 2, 1, 4, 3, 1, 2, 3, 2, 2, 1, 1, 2, 2, 6, 4, 2, 3, 4, 2, 1, 3, 1, 2, 1, 1, 4, 2, 2, 3, 3, 2, 5, 3, 1, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 2, 3, 3, 3, 1, 4, 2, 4, 1, 2, 4, 1]","[4, 4, 4, 5, 4, 2, 5, 5, 4, 5, 6, 5]","[3, 7, 3, 3, 4, 3, 2, 3, 3, 3, 4, 2, 3]",76,69,12,13,train
